text,expected_label,expected_label_id,label,label_id,confidence,latency_ms,rank
El módulo correspondiente habilitará para obtener el porcentaje de asistencia acumulado en tiempo real.,RF,0,RF,0,0.687622,2.638,3
El repartidor tendrá acceso a una notificación de estado del pedido desde el módulo de reportes.,RF,0,RF,0,0.526357,2.137,3
El módulo correspondiente posibilitará obtener el saldo disponible tras una transferencia en tiempo real.,RF,0,RF,0,0.520372,2.371,3
El sistema dará la opción de exportar un reporte de calificaciones en formato digital.,RF,0,RF,0,0.835625,2.671,2
El sistema deberá autenticar a la enfermera de turno utilizando huella dactilar registrada antes de otorgar acceso.,RF,0,RNF,1,0.792904,2.657,3
El sistema tiene que autenticar al titular de la cuenta con verificación en dos pasos por SMS antes de otorgar acceso.,RF,0,RNF,1,0.724762,2.293,3
"El sistema necesita permitir la creación de un registro de alergias del paciente por parte del médico tratante, si la operación no supera el límite diario establecido.",RF,0,RNF,1,0.535063,2.589,2
El acceso del titular de la cuenta habilitará para validarse con verificación en dos pasos por SMS.,RF,0,RNF,1,0.720733,2.636,3
El estudiante podrá dar de baja una tarea entregada fuera de plazo cuando su registro ya no sea necesario.,RF,0,RNF,1,0.723121,2.83,3
El sistema habilitará para que el administrador del banco registre un plan de pagos.,RF,0,RNF,1,0.843622,2.474,3
El sistema habilitará para que el especialista elimine una cita cancelada por el paciente.,RF,0,RF,0,0.891089,2.555,2
El acceso del médico tratante permitirá validarse utilizando huella dactilar registrada.,RF,0,RNF,1,0.851815,2.937,1
El sistema debe eliminar de forma permanente un beneficiario registrado tras confirmación del titular de la cuenta.,RF,0,RNF,1,0.554778,2.599,2
El acceso del vendedor posibilitará validarse con verificación por mensaje de texto.,RF,0,RF,0,0.80368,2.899,2
El acceso del tutor de tesis dará la opción de validarse utilizando código de acceso temporal.,RF,0,RNF,1,0.820377,2.591,2
El sistema permitirá exportar una notificación de estado del pedido en formato digital.,RF,0,RF,0,0.825138,2.883,1
El usuario podrá realizar operaciones diversas cuando el sistema lo permita.,RF,0,RNF,1,0.775631,2.468,3
El sistema deberá autenticar al administrador de la tienda mediante correo electrónico y contraseña antes de otorgar acceso.,RF,0,RNF,1,0.934757,2.698,1
El sistema tiene que autenticar al representante legal utilizando código de acceso temporal antes de otorgar acceso.,RF,0,RNF,1,0.825551,2.282,3
El repartidor podrá dar de baja una reseña reportada como falsa cuando su registro ya no sea necesario.,RF,0,RF,0,0.61845,2.509,3
El sistema necesita determinar el porcentaje de asistencia acumulado cada vez que se registre un cambio relevante.,RF,0,RF,0,0.775128,2.729,3
El sistema está obligado a calcular automáticamente el tiempo estimado de entrega.,RF,0,RNF,1,0.698742,2.666,2
El sistema posibilitará que el médico tratante elimine un usuario dado de baja del sistema.,RF,0,RF,0,0.660856,2.284,3
"El sistema podrá permitir que el administrador del hospital registre una historia clínica digital, cuando el usuario cuente con los permisos necesarios.",RF,0,RF,0,0.618719,2.633,3
El administrador del hospital podrá descargar un recordatorio de próxima cita desde el módulo de reportes.,RF,0,RF,0,0.884296,3.3,1
El sistema habilitará para que el proveedor registre una lista de productos favoritos.,RF,0,RF,0,0.920573,2.551,1
"El médico tratante podrá crear una historia clínica digital desde su panel principal, siempre que los datos ingresados sean válidos.",RF,0,RNF,1,0.646605,2.575,2
El sistema necesita calcular automáticamente el índice de masa corporal.,RF,0,RF,0,0.845668,2.761,2
El sistema necesita determinar la cuota de amortización del préstamo cada vez que se registre un cambio relevante.,RF,0,RF,0,0.63692,2.439,3
El sistema podrá permitir que el docente elimine una tarea entregada fuera de plazo.,RF,0,RNF,1,0.599399,2.579,3
El sistema habilitará para que el estudiante elimine un usuario egresado.,RF,0,RF,0,0.897257,2.702,1
El sistema tiene que determinar la dosis de medicamento según el peso del paciente cada vez que se registre un cambio relevante.,RF,0,RF,0,0.70684,2.407,2
El sistema permitirá exportar una factura electrónica en formato digital.,RF,0,RNF,1,0.605127,2.854,1
El usuario podrá modificar ciertos datos según lo considere pertinente.,RF,0,RF,0,0.804394,2.561,1
El sistema deberá calcular automáticamente el tiempo de espera promedio en urgencias.,RF,0,RNF,1,0.684439,2.489,2
El sistema permitirá exportar un certificado de estudios en formato digital.,RF,0,RNF,1,0.530139,2.514,3
El administrador del sistema podrá dar de baja un usuario egresado cuando su registro ya no sea necesario.,RF,0,RNF,1,0.779663,2.631,1
El sistema podrá permitir que el comprador elimine un pedido cancelado por el cliente.,RF,0,RF,0,0.931891,2.471,2
El sistema necesita autenticar al titular de la cuenta mediante token físico y contraseña antes de otorgar acceso.,RF,0,RNF,1,0.965115,2.594,1
"El sistema podrá permitir que el representante legal registre un curso virtual, salvo que existan restricciones administrativas vigentes.",RF,0,RF,0,0.704121,2.716,3
El sistema debe gestionar correctamente la información relevante del cliente.,RF,0,RNF,1,0.772852,3.056,3
"El sistema dará la opción de que el repartidor registre una reseña de producto, siempre que los datos ingresados sean válidos.",RF,0,RNF,1,0.681579,2.855,3
El sistema deberá determinar la nota final del período cada vez que se registre un cambio relevante.,RF,0,RNF,1,0.630905,2.445,3
El acceso del representante legal permitirá validarse mediante usuario institucional y contraseña.,RF,0,RNF,1,0.864644,2.565,2
"El sistema está obligado a permitir la creación de una reseña de producto por parte del comprador, de acuerdo con las políticas internas de la organización.",RF,0,RNF,1,0.696259,2.684,3
El sistema debe autenticar al administrador del hospital con tarjeta profesional y PIN antes de otorgar acceso.,RF,0,RNF,1,0.976846,2.543,1
El acceso del farmacéutico habilitará para validarse utilizando huella dactilar registrada.,RF,0,RNF,1,0.911513,2.784,2
El acceso del cliente podrá validarse mediante clave dinámica y huella dactilar.,RF,0,RNF,1,0.955895,2.638,1
El comprador podrá dar de baja un producto descontinuado del catálogo cuando su registro ya no sea necesario.,RF,0,RF,0,0.645137,2.589,3
"El sistema está obligado a permitir la creación de una cita médica por parte del especialista, salvo que existan restricciones administrativas vigentes.",RF,0,RNF,1,0.605017,2.259,3
El sistema deberá determinar la dosis de medicamento según el peso del paciente cada vez que se registre un cambio relevante.,RF,0,RNF,1,0.508903,2.642,3
El sistema tiene que eliminar de forma permanente una tarjeta bloqueada tras confirmación del asesor financiero.,RF,0,RF,0,0.563245,3.241,3
El sistema tiene que autenticar al administrador del banco con verificación en dos pasos por SMS antes de otorgar acceso.,RF,0,RNF,1,0.735568,2.847,3
