text,expected_label,expected_label_id,label,label_id,confidence,latency_ms,rank
El módulo correspondiente habilitará para obtener el porcentaje de asistencia acumulado en tiempo real.,RF,0,RF,0,0.825918,570.252,3
El repartidor tendrá acceso a una notificación de estado del pedido desde el módulo de reportes.,RF,0,RF,0,0.726101,68.484,2
El módulo correspondiente posibilitará obtener el saldo disponible tras una transferencia en tiempo real.,RF,0,RF,0,0.809661,76.366,3
El sistema dará la opción de exportar un reporte de calificaciones en formato digital.,RF,0,RF,0,0.858237,66.827,2
El sistema deberá autenticar a la enfermera de turno utilizando huella dactilar registrada antes de otorgar acceso.,RF,0,RNF,1,0.86394,58.476,3
El sistema tiene que autenticar al titular de la cuenta con verificación en dos pasos por SMS antes de otorgar acceso.,RF,0,RNF,1,0.930763,61.415,2
"El sistema necesita permitir la creación de un registro de alergias del paciente por parte del médico tratante, si la operación no supera el límite diario establecido.",RF,0,RF,0,0.527386,70.343,4
El acceso del titular de la cuenta habilitará para validarse con verificación en dos pasos por SMS.,RF,0,RNF,1,0.849644,55.518,2
El estudiante podrá dar de baja una tarea entregada fuera de plazo cuando su registro ya no sea necesario.,RF,0,RF,0,0.8518,51.176,2
El sistema habilitará para que el administrador del banco registre un plan de pagos.,RF,0,RF,0,0.903305,54.272,3
El sistema habilitará para que el especialista elimine una cita cancelada por el paciente.,RF,0,RF,0,0.954895,62.281,2
El acceso del médico tratante permitirá validarse utilizando huella dactilar registrada.,RF,0,RNF,1,0.735015,53.936,3
El sistema debe eliminar de forma permanente un beneficiario registrado tras confirmación del titular de la cuenta.,RF,0,RF,0,0.518319,54.542,4
El acceso del vendedor posibilitará validarse con verificación por mensaje de texto.,RF,0,RNF,1,0.787776,50.355,4
El acceso del tutor de tesis dará la opción de validarse utilizando código de acceso temporal.,RF,0,RF,0,0.633605,62.568,4
El sistema permitirá exportar una notificación de estado del pedido en formato digital.,RF,0,RF,0,0.752585,41.91,3
El usuario podrá realizar operaciones diversas cuando el sistema lo permita.,RF,0,RNF,1,0.838161,47.741,2
El sistema deberá autenticar al administrador de la tienda mediante correo electrónico y contraseña antes de otorgar acceso.,RF,0,RNF,1,0.859781,51.147,4
El sistema tiene que autenticar al representante legal utilizando código de acceso temporal antes de otorgar acceso.,RF,0,RNF,1,0.882924,62.717,2
El repartidor podrá dar de baja una reseña reportada como falsa cuando su registro ya no sea necesario.,RF,0,RF,0,0.962587,67.804,2
El sistema necesita determinar el porcentaje de asistencia acumulado cada vez que se registre un cambio relevante.,RF,0,RF,0,0.862518,64.441,2
El sistema está obligado a calcular automáticamente el tiempo estimado de entrega.,RF,0,RNF,1,0.523747,63.102,4
El sistema posibilitará que el médico tratante elimine un usuario dado de baja del sistema.,RF,0,RF,0,0.7445,63.584,3
"El sistema podrá permitir que el administrador del hospital registre una historia clínica digital, cuando el usuario cuente con los permisos necesarios.",RF,0,RNF,1,0.621362,86.624,3
El administrador del hospital podrá descargar un recordatorio de próxima cita desde el módulo de reportes.,RF,0,RF,0,0.869872,60.514,3
El sistema habilitará para que el proveedor registre una lista de productos favoritos.,RF,0,RF,0,0.904533,95.251,3
"El médico tratante podrá crear una historia clínica digital desde su panel principal, siempre que los datos ingresados sean válidos.",RF,0,RNF,1,0.522301,80.038,4
El sistema necesita calcular automáticamente el índice de masa corporal.,RF,0,RF,0,0.571116,58.354,4
El sistema necesita determinar la cuota de amortización del préstamo cada vez que se registre un cambio relevante.,RF,0,RF,0,0.914063,69.537,1
El sistema podrá permitir que el docente elimine una tarea entregada fuera de plazo.,RF,0,RF,0,0.960366,68.777,2
El sistema habilitará para que el estudiante elimine un usuario egresado.,RF,0,RF,0,0.886905,60.991,3
El sistema tiene que determinar la dosis de medicamento según el peso del paciente cada vez que se registre un cambio relevante.,RF,0,RNF,1,0.560708,78.528,4
El sistema permitirá exportar una factura electrónica en formato digital.,RF,0,RF,0,0.564997,76.69,3
El usuario podrá modificar ciertos datos según lo considere pertinente.,RF,0,RNF,1,0.763832,59.432,3
El sistema deberá calcular automáticamente el tiempo de espera promedio en urgencias.,RF,0,RF,0,0.614629,52.603,4
El sistema permitirá exportar un certificado de estudios en formato digital.,RF,0,RNF,1,0.554878,66.553,2
El administrador del sistema podrá dar de baja un usuario egresado cuando su registro ya no sea necesario.,RF,0,RF,0,0.565371,66.032,4
El sistema podrá permitir que el comprador elimine un pedido cancelado por el cliente.,RF,0,RF,0,0.961375,62.926,2
