text,expected_label,expected_label_id,label,label_id,confidence,latency_ms,rank
El módulo correspondiente habilitará para obtener el porcentaje de asistencia acumulado en tiempo real.,RF,0,RF,0,0.902032,459.164,2
El repartidor tendrá acceso a una notificación de estado del pedido desde el módulo de reportes.,RF,0,RF,0,0.997788,74.224,1
El módulo correspondiente posibilitará obtener el saldo disponible tras una transferencia en tiempo real.,RF,0,RF,0,0.992983,83.589,1
El sistema dará la opción de exportar un reporte de calificaciones en formato digital.,RF,0,RF,0,0.997445,61.648,1
El sistema deberá autenticar a la enfermera de turno utilizando huella dactilar registrada antes de otorgar acceso.,RF,0,RF,0,0.948557,92.457,1
El sistema tiene que autenticar al titular de la cuenta con verificación en dos pasos por SMS antes de otorgar acceso.,RF,0,RNF,1,0.605568,71.967,4
"El sistema necesita permitir la creación de un registro de alergias del paciente por parte del médico tratante, si la operación no supera el límite diario establecido.",RF,0,RF,0,0.966375,95.224,1
El acceso del titular de la cuenta habilitará para validarse con verificación en dos pasos por SMS.,RF,0,RF,0,0.720224,56.989,4
El estudiante podrá dar de baja una tarea entregada fuera de plazo cuando su registro ya no sea necesario.,RF,0,RF,0,0.997637,58.828,1
El sistema habilitará para que el administrador del banco registre un plan de pagos.,RF,0,RF,0,0.996367,56.607,1
El sistema habilitará para que el especialista elimine una cita cancelada por el paciente.,RF,0,RF,0,0.997029,57.804,1
El acceso del médico tratante permitirá validarse utilizando huella dactilar registrada.,RF,0,RF,0,0.965344,51.225,1
El sistema debe eliminar de forma permanente un beneficiario registrado tras confirmación del titular de la cuenta.,RF,0,RNF,1,0.80651,54.719,2
El acceso del vendedor posibilitará validarse con verificación por mensaje de texto.,RF,0,RF,0,0.869935,47.539,2
El acceso del tutor de tesis dará la opción de validarse utilizando código de acceso temporal.,RF,0,RF,0,0.903325,57.196,2
El sistema permitirá exportar una notificación de estado del pedido en formato digital.,RF,0,RF,0,0.99858,53.709,1
El usuario podrá realizar operaciones diversas cuando el sistema lo permita.,RF,0,RF,0,0.861295,66.188,1
El sistema deberá autenticar al administrador de la tienda mediante correo electrónico y contraseña antes de otorgar acceso.,RF,0,RF,0,0.927501,56.611,2
El sistema tiene que autenticar al representante legal utilizando código de acceso temporal antes de otorgar acceso.,RF,0,RNF,1,0.747402,75.908,4
El repartidor podrá dar de baja una reseña reportada como falsa cuando su registro ya no sea necesario.,RF,0,RF,0,0.998678,62.703,1
El sistema necesita determinar el porcentaje de asistencia acumulado cada vez que se registre un cambio relevante.,RF,0,RNF,1,0.666504,76.98,4
El sistema está obligado a calcular automáticamente el tiempo estimado de entrega.,RF,0,RF,0,0.925227,72.925,1
El sistema posibilitará que el médico tratante elimine un usuario dado de baja del sistema.,RF,0,RF,0,0.984021,73.493,1
"El sistema podrá permitir que el administrador del hospital registre una historia clínica digital, cuando el usuario cuente con los permisos necesarios.",RF,0,RF,0,0.996973,113.983,1
El administrador del hospital podrá descargar un recordatorio de próxima cita desde el módulo de reportes.,RF,0,RF,0,0.997622,64.777,1
El sistema habilitará para que el proveedor registre una lista de productos favoritos.,RF,0,RF,0,0.999218,111.438,1
"El médico tratante podrá crear una historia clínica digital desde su panel principal, siempre que los datos ingresados sean válidos.",RF,0,RF,0,0.998093,90.039,1
El sistema necesita calcular automáticamente el índice de masa corporal.,RF,0,RF,0,0.922605,65.572,1
