text,expected_label,expected_label_id,label,label_id,confidence,latency_ms,rank
El módulo correspondiente habilitará para obtener el porcentaje de asistencia acumulado en tiempo real.,RF,0,RNF,1,0.93,65.851,1
El repartidor tendrá acceso a una notificación de estado del pedido desde el módulo de reportes.,RF,0,RNF,1,0.62,42.99,2
El módulo correspondiente posibilitará obtener el saldo disponible tras una transferencia en tiempo real.,RF,0,RNF,1,0.93,51.445,1
El sistema dará la opción de exportar un reporte de calificaciones en formato digital.,RF,0,RNF,1,0.7,44.029,3
El sistema deberá autenticar a la enfermera de turno utilizando huella dactilar registrada antes de otorgar acceso.,RF,0,RNF,1,0.89,47.866,1
El sistema tiene que autenticar al titular de la cuenta con verificación en dos pasos por SMS antes de otorgar acceso.,RF,0,RNF,1,0.94,42.276,1
"El sistema necesita permitir la creación de un registro de alergias del paciente por parte del médico tratante, si la operación no supera el límite diario establecido.",RF,0,RNF,1,0.83,41.97,1
El acceso del titular de la cuenta habilitará para validarse con verificación en dos pasos por SMS.,RF,0,RNF,1,0.97,37.974,1
El estudiante podrá dar de baja una tarea entregada fuera de plazo cuando su registro ya no sea necesario.,RF,0,RNF,1,0.75,62.138,2
El sistema habilitará para que el administrador del banco registre un plan de pagos.,RF,0,RNF,1,0.94,52.003,1
El sistema habilitará para que el especialista elimine una cita cancelada por el paciente.,RF,0,RNF,1,0.87,60.501,3
El acceso del médico tratante permitirá validarse utilizando huella dactilar registrada.,RF,0,RNF,1,0.67,38.865,3
El sistema debe eliminar de forma permanente un beneficiario registrado tras confirmación del titular de la cuenta.,RF,0,RNF,1,0.92,50.632,1
El acceso del vendedor posibilitará validarse con verificación por mensaje de texto.,RF,0,RNF,1,0.9,61.865,1
El acceso del tutor de tesis dará la opción de validarse utilizando código de acceso temporal.,RF,0,RNF,1,0.93,53.806,1
El sistema permitirá exportar una notificación de estado del pedido en formato digital.,RF,0,RF,0,0.7,48.12,3
El usuario podrá realizar operaciones diversas cuando el sistema lo permita.,RF,0,RNF,1,0.81,55.99,2
El sistema deberá autenticar al administrador de la tienda mediante correo electrónico y contraseña antes de otorgar acceso.,RF,0,RNF,1,0.86,46.173,2
El sistema tiene que autenticar al representante legal utilizando código de acceso temporal antes de otorgar acceso.,RF,0,RNF,1,0.94,51.15,1
El repartidor podrá dar de baja una reseña reportada como falsa cuando su registro ya no sea necesario.,RF,0,RNF,1,0.76,48.056,2
El sistema necesita determinar el porcentaje de asistencia acumulado cada vez que se registre un cambio relevante.,RF,0,RNF,1,0.88,50.068,1
El sistema está obligado a calcular automáticamente el tiempo estimado de entrega.,RF,0,RNF,1,0.92,56.065,1
El sistema posibilitará que el médico tratante elimine un usuario dado de baja del sistema.,RF,0,RNF,1,0.88,48.675,1
"El sistema podrá permitir que el administrador del hospital registre una historia clínica digital, cuando el usuario cuente con los permisos necesarios.",RF,0,RNF,1,0.81,56.21,1
El administrador del hospital podrá descargar un recordatorio de próxima cita desde el módulo de reportes.,RF,0,RNF,1,0.72,52.121,3
El sistema habilitará para que el proveedor registre una lista de productos favoritos.,RF,0,RNF,1,0.74,53.647,3
"El médico tratante podrá crear una historia clínica digital desde su panel principal, siempre que los datos ingresados sean válidos.",RF,0,RNF,1,0.82,49.311,1
El sistema necesita calcular automáticamente el índice de masa corporal.,RF,0,RNF,1,0.88,42.393,1
El sistema necesita determinar la cuota de amortización del préstamo cada vez que se registre un cambio relevante.,RF,0,RNF,1,0.87,50.813,2
El sistema podrá permitir que el docente elimine una tarea entregada fuera de plazo.,RF,0,RNF,1,0.82,50.748,2
El sistema habilitará para que el estudiante elimine un usuario egresado.,RF,0,RNF,1,0.85,48.701,3
El sistema tiene que determinar la dosis de medicamento según el peso del paciente cada vez que se registre un cambio relevante.,RF,0,RNF,1,0.83,35.721,1
El sistema permitirá exportar una factura electrónica en formato digital.,RF,0,RF,0,0.53,51.82,3
El usuario podrá modificar ciertos datos según lo considere pertinente.,RF,0,RNF,1,0.6,66.628,3
El sistema deberá calcular automáticamente el tiempo de espera promedio en urgencias.,RF,0,RNF,1,0.87,54.823,1
El sistema permitirá exportar un certificado de estudios en formato digital.,RF,0,RF,0,0.54,61.099,2
El administrador del sistema podrá dar de baja un usuario egresado cuando su registro ya no sea necesario.,RF,0,RNF,1,0.7,57.601,2
El sistema podrá permitir que el comprador elimine un pedido cancelado por el cliente.,RF,0,RNF,1,0.62,51.688,3
El sistema necesita autenticar al titular de la cuenta mediante token físico y contraseña antes de otorgar acceso.,RF,0,RNF,1,0.96,53.909,2
"El sistema podrá permitir que el representante legal registre un curso virtual, salvo que existan restricciones administrativas vigentes.",RF,0,RNF,1,0.79,52.298,1
El sistema debe gestionar correctamente la información relevante del cliente.,RF,0,RNF,1,0.8,48.874,2
"El sistema dará la opción de que el repartidor registre una reseña de producto, siempre que los datos ingresados sean válidos.",RF,0,RNF,1,0.89,51.682,2
El sistema deberá determinar la nota final del período cada vez que se registre un cambio relevante.,RF,0,RNF,1,0.84,53.183,2
El acceso del representante legal permitirá validarse mediante usuario institucional y contraseña.,RF,0,RNF,1,0.65,36.494,3
"El sistema está obligado a permitir la creación de una reseña de producto por parte del comprador, de acuerdo con las políticas internas de la organización.",RF,0,RNF,1,0.81,54.844,2
El sistema debe autenticar al administrador del hospital con tarjeta profesional y PIN antes de otorgar acceso.,RF,0,RNF,1,0.96,52.529,2
El acceso del farmacéutico habilitará para validarse utilizando huella dactilar registrada.,RF,0,RNF,1,0.98,51.567,1
El acceso del cliente podrá validarse mediante clave dinámica y huella dactilar.,RF,0,RNF,1,0.8,51.385,3
El comprador podrá dar de baja un producto descontinuado del catálogo cuando su registro ya no sea necesario.,RF,0,RNF,1,0.66,57.107,2
"El sistema está obligado a permitir la creación de una cita médica por parte del especialista, salvo que existan restricciones administrativas vigentes.",RF,0,RNF,1,0.89,52.028,1
El sistema deberá determinar la dosis de medicamento según el peso del paciente cada vez que se registre un cambio relevante.,RF,0,RNF,1,0.81,53.531,1
El sistema tiene que eliminar de forma permanente una tarjeta bloqueada tras confirmación del asesor financiero.,RF,0,RNF,1,0.91,50.255,1
El sistema tiene que autenticar al administrador del banco con verificación en dos pasos por SMS antes de otorgar acceso.,RF,0,RNF,1,0.92,57.429,1
El asesor financiero tendrá acceso a un certificado de saldo desde el módulo de reportes.,RF,0,RNF,1,0.99,56.205,1
El titular de la cuenta tendrá acceso a un estado de cuenta en PDF desde el módulo de reportes.,RF,0,RNF,1,0.7,45.851,2
El sistema podrá exportar un informe médico consolidado en formato digital.,RF,0,RNF,1,0.65,48.019,2
El repartidor tendrá acceso a una guía de envío desde el módulo de reportes.,RF,0,RNF,1,0.99,49.183,1
El sistema podrá exportar un estado de cuenta en PDF en formato digital.,RF,0,RNF,1,0.58,56.614,2
El acceso del cliente posibilitará validarse mediante clave dinámica y huella dactilar.,RF,0,RNF,1,0.86,31.936,2
El sistema habilitará para exportar un reporte de calificaciones en formato digital.,RF,0,RNF,1,0.72,40.167,3
El sistema necesita calcular automáticamente la dosis de medicamento según el peso del paciente.,RF,0,RNF,1,0.83,49.758,2
El administrador del banco podrá crear un plan de pagos desde su panel principal.,RF,0,RNF,1,0.82,53.27,1
El vendedor podrá dar de baja una dirección de envío obsoleta cuando su registro ya no sea necesario.,RF,0,RNF,1,0.67,48.201,3
El sistema tiene que generar un recordatorio de próxima cita a solicitud del farmacéutico.,RF,0,RNF,1,0.84,50.195,2
"El sistema debe permitir la creación de una solicitud de crédito por parte del usuario, si la operación no supera el límite diario establecido.",RF,0,RNF,1,0.85,55.289,1
El sistema debe calcular automáticamente la dosis de medicamento según el peso del paciente.,RF,0,RNF,1,0.85,52.337,1
El sistema debe determinar la nota final del período cada vez que se registre un cambio relevante.,RF,0,RNF,1,0.91,53.622,2
El módulo correspondiente dará la opción de obtener los créditos aprobados hasta la fecha en tiempo real.,RF,0,RNF,1,0.86,46.859,2
"El sistema posibilitará que el estudiante registre una tarea con fecha límite, de acuerdo con las políticas internas de la organización.",RF,0,RNF,1,0.88,54.066,1
El acceso del coordinador académico habilitará para validarse con verificación de correo institucional.,RF,0,RNF,1,0.88,42.413,1
El administrador del sistema podrá dar de baja una matrícula anulada cuando su registro ya no sea necesario.,RF,0,RNF,1,0.72,52.771,3
El sistema necesita eliminar de forma permanente un usuario egresado tras confirmación del tutor de tesis.,RF,0,RNF,1,0.87,52.496,1
El sistema habilitará para exportar un informe médico consolidado en formato digital.,RF,0,RNF,1,0.72,52.914,1
El sistema tiene que generar una guía de envío a solicitud del administrador de la tienda.,RF,0,RNF,1,0.9,51.384,1
El acceso del farmacéutico podrá validarse con tarjeta profesional y PIN.,RF,0,RNF,1,0.89,68.144,2
El sistema tiene que eliminar de forma permanente una matrícula anulada tras confirmación del representante legal.,RF,0,RNF,1,0.91,53.39,1
El administrador de la tienda podrá dar de baja una dirección de envío obsoleta cuando su registro ya no sea necesario.,RF,0,RNF,1,0.73,48.57,1
El sistema necesita autenticar al usuario mediante clave dinámica y huella dactilar antes de otorgar acceso.,RF,0,RNF,1,0.89,50.52,3
El acceso del médico tratante habilitará para validarse con tarjeta profesional y PIN.,RF,0,RNF,1,0.98,61.666,1
"El sistema permitirá que el representante legal registre una tarea con fecha límite, salvo que existan restricciones administrativas vigentes.",RF,0,RF,0,0.54,45.723,3
El sistema está obligado a autenticar al titular de la cuenta con verificación en dos pasos por SMS antes de otorgar acceso.,RF,0,RNF,1,0.96,55.472,1
El tutor de tesis podrá dar de baja una tarea entregada fuera de plazo cuando su registro ya no sea necesario.,RF,0,RNF,1,0.77,49.931,3
El sistema está obligado a calcular automáticamente la comisión del vendedor por cada venta.,RF,0,RNF,1,0.81,39.991,2
El módulo correspondiente dará la opción de obtener el porcentaje de asistencia acumulado en tiempo real.,RF,0,RNF,1,0.91,50.432,2
El sistema habilitará para exportar una guía de envío en formato digital.,RF,0,RNF,1,0.94,51.578,1
"El repartidor tendrá la opción de crear una lista de productos favoritos desde su panel principal, salvo que existan restricciones administrativas vigentes.",RF,0,RNF,1,0.72,51.664,3
El módulo correspondiente permitirá obtener la cuota de amortización del préstamo en tiempo real.,RF,0,RNF,1,0.6,50.784,2
El sistema deberá eliminar de forma permanente un producto descontinuado del catálogo tras confirmación del repartidor.,RF,0,RNF,1,0.88,37.404,1
"El repartidor tendrá la opción de crear un pedido nuevo desde su panel principal, de acuerdo con las políticas internas de la organización.",RF,0,RNF,1,0.9,54.231,1
El sistema permitirá que el médico tratante elimine un usuario dado de baja del sistema.,RF,0,RF,0,0.52,54.121,3
El acceso del coordinador académico habilitará para validarse mediante usuario institucional y contraseña.,RF,0,RNF,1,0.92,50.598,1
El sistema dará la opción de que el administrador del hospital elimine un registro médico duplicado.,RF,0,RNF,1,0.8,41.225,3
El acceso del cliente frecuente dará la opción de validarse con verificación por mensaje de texto.,RF,0,RNF,1,0.83,46.498,1
El sistema necesita calcular automáticamente el interés compuesto mensual.,RF,0,RNF,1,0.88,49.85,1
