text,expected_label,expected_label_id,label,label_id,confidence,latency_ms,rank
El módulo correspondiente habilitará para obtener el porcentaje de asistencia acumulado en tiempo real.,RF,0,RF,0,0.687622,3.997,4
El repartidor tendrá acceso a una notificación de estado del pedido desde el módulo de reportes.,RF,0,RF,0,0.526357,2.996,4
El módulo correspondiente posibilitará obtener el saldo disponible tras una transferencia en tiempo real.,RF,0,RF,0,0.520372,2.455,4
El sistema dará la opción de exportar un reporte de calificaciones en formato digital.,RF,0,RF,0,0.835625,2.031,3
El sistema deberá autenticar a la enfermera de turno utilizando huella dactilar registrada antes de otorgar acceso.,RF,0,RNF,1,0.792904,2.556,4
El sistema tiene que autenticar al titular de la cuenta con verificación en dos pasos por SMS antes de otorgar acceso.,RF,0,RNF,1,0.724762,2.039,3
"El sistema necesita permitir la creación de un registro de alergias del paciente por parte del médico tratante, si la operación no supera el límite diario establecido.",RF,0,RNF,1,0.535063,2.018,3
El acceso del titular de la cuenta habilitará para validarse con verificación en dos pasos por SMS.,RF,0,RNF,1,0.720733,2.424,3
El estudiante podrá dar de baja una tarea entregada fuera de plazo cuando su registro ya no sea necesario.,RF,0,RNF,1,0.723121,2.122,4
El sistema habilitará para que el administrador del banco registre un plan de pagos.,RF,0,RNF,1,0.843622,2.263,4
El sistema habilitará para que el especialista elimine una cita cancelada por el paciente.,RF,0,RF,0,0.891089,1.914,3
El acceso del médico tratante permitirá validarse utilizando huella dactilar registrada.,RF,0,RNF,1,0.851815,2.302,2
El sistema debe eliminar de forma permanente un beneficiario registrado tras confirmación del titular de la cuenta.,RF,0,RNF,1,0.554778,2.083,3
El acceso del vendedor posibilitará validarse con verificación por mensaje de texto.,RF,0,RF,0,0.80368,2.177,3
El acceso del tutor de tesis dará la opción de validarse utilizando código de acceso temporal.,RF,0,RNF,1,0.820377,2.017,3
El sistema permitirá exportar una notificación de estado del pedido en formato digital.,RF,0,RF,0,0.825138,2.346,2
El usuario podrá realizar operaciones diversas cuando el sistema lo permita.,RF,0,RNF,1,0.775631,2.606,4
El sistema deberá autenticar al administrador de la tienda mediante correo electrónico y contraseña antes de otorgar acceso.,RF,0,RNF,1,0.934757,2.639,1
El sistema tiene que autenticar al representante legal utilizando código de acceso temporal antes de otorgar acceso.,RF,0,RNF,1,0.825551,2.136,3
El repartidor podrá dar de baja una reseña reportada como falsa cuando su registro ya no sea necesario.,RF,0,RF,0,0.61845,2.576,4
El sistema necesita determinar el porcentaje de asistencia acumulado cada vez que se registre un cambio relevante.,RF,0,RF,0,0.775128,2.429,3
El sistema está obligado a calcular automáticamente el tiempo estimado de entrega.,RF,0,RNF,1,0.698742,2.57,3
El sistema posibilitará que el médico tratante elimine un usuario dado de baja del sistema.,RF,0,RF,0,0.660856,2.816,4
"El sistema podrá permitir que el administrador del hospital registre una historia clínica digital, cuando el usuario cuente con los permisos necesarios.",RF,0,RF,0,0.618719,2.865,4
El administrador del hospital podrá descargar un recordatorio de próxima cita desde el módulo de reportes.,RF,0,RF,0,0.884296,2.619,2
El sistema habilitará para que el proveedor registre una lista de productos favoritos.,RF,0,RF,0,0.920573,3.594,2
"El médico tratante podrá crear una historia clínica digital desde su panel principal, siempre que los datos ingresados sean válidos.",RF,0,RNF,1,0.646605,3.743,3
El sistema necesita calcular automáticamente el índice de masa corporal.,RF,0,RF,0,0.845668,3.527,3
El sistema necesita determinar la cuota de amortización del préstamo cada vez que se registre un cambio relevante.,RF,0,RF,0,0.63692,2.815,3
El sistema podrá permitir que el docente elimine una tarea entregada fuera de plazo.,RF,0,RNF,1,0.599399,2.626,4
El sistema habilitará para que el estudiante elimine un usuario egresado.,RF,0,RF,0,0.897257,2.439,2
El sistema tiene que determinar la dosis de medicamento según el peso del paciente cada vez que se registre un cambio relevante.,RF,0,RF,0,0.70684,3.352,3
El sistema permitirá exportar una factura electrónica en formato digital.,RF,0,RNF,1,0.605127,3.155,2
El usuario podrá modificar ciertos datos según lo considere pertinente.,RF,0,RF,0,0.804394,2.465,2
El sistema deberá calcular automáticamente el tiempo de espera promedio en urgencias.,RF,0,RNF,1,0.684439,2.671,3
El sistema permitirá exportar un certificado de estudios en formato digital.,RF,0,RNF,1,0.530139,2.676,4
El administrador del sistema podrá dar de baja un usuario egresado cuando su registro ya no sea necesario.,RF,0,RNF,1,0.779663,2.53,2
El sistema podrá permitir que el comprador elimine un pedido cancelado por el cliente.,RF,0,RF,0,0.931891,2.377,3
El sistema necesita autenticar al titular de la cuenta mediante token físico y contraseña antes de otorgar acceso.,RF,0,RNF,1,0.965115,2.62,1
"El sistema podrá permitir que el representante legal registre un curso virtual, salvo que existan restricciones administrativas vigentes.",RF,0,RF,0,0.704121,3.071,4
El sistema debe gestionar correctamente la información relevante del cliente.,RF,0,RNF,1,0.772852,2.471,3
"El sistema dará la opción de que el repartidor registre una reseña de producto, siempre que los datos ingresados sean válidos.",RF,0,RNF,1,0.681579,2.958,4
El sistema deberá determinar la nota final del período cada vez que se registre un cambio relevante.,RF,0,RNF,1,0.630905,2.819,4
El acceso del representante legal permitirá validarse mediante usuario institucional y contraseña.,RF,0,RNF,1,0.864644,2.799,2
"El sistema está obligado a permitir la creación de una reseña de producto por parte del comprador, de acuerdo con las políticas internas de la organización.",RF,0,RNF,1,0.696259,2.591,4
El sistema debe autenticar al administrador del hospital con tarjeta profesional y PIN antes de otorgar acceso.,RF,0,RNF,1,0.976846,2.872,1
El acceso del farmacéutico habilitará para validarse utilizando huella dactilar registrada.,RF,0,RNF,1,0.911513,2.783,2
El acceso del cliente podrá validarse mediante clave dinámica y huella dactilar.,RF,0,RNF,1,0.955895,2.827,1
El comprador podrá dar de baja un producto descontinuado del catálogo cuando su registro ya no sea necesario.,RF,0,RF,0,0.645137,2.576,4
"El sistema está obligado a permitir la creación de una cita médica por parte del especialista, salvo que existan restricciones administrativas vigentes.",RF,0,RNF,1,0.605017,3.267,4
El sistema deberá determinar la dosis de medicamento según el peso del paciente cada vez que se registre un cambio relevante.,RF,0,RNF,1,0.508903,2.516,4
El sistema tiene que eliminar de forma permanente una tarjeta bloqueada tras confirmación del asesor financiero.,RF,0,RF,0,0.563245,3.156,4
El sistema tiene que autenticar al administrador del banco con verificación en dos pasos por SMS antes de otorgar acceso.,RF,0,RNF,1,0.735568,2.329,3
El asesor financiero tendrá acceso a un certificado de saldo desde el módulo de reportes.,RF,0,RNF,1,0.926831,2.677,3
El titular de la cuenta tendrá acceso a un estado de cuenta en PDF desde el módulo de reportes.,RF,0,RNF,1,0.808767,2.395,2
El sistema podrá exportar un informe médico consolidado en formato digital.,RF,0,RF,0,0.536627,2.855,4
El repartidor tendrá acceso a una guía de envío desde el módulo de reportes.,RF,0,RNF,1,0.923696,2.434,3
El sistema podrá exportar un estado de cuenta en PDF en formato digital.,RF,0,RF,0,0.541254,2.321,4
El acceso del cliente posibilitará validarse mediante clave dinámica y huella dactilar.,RF,0,RNF,1,0.93624,2.309,1
El sistema habilitará para exportar un reporte de calificaciones en formato digital.,RF,0,RF,0,0.73471,3.062,2
El sistema necesita calcular automáticamente la dosis de medicamento según el peso del paciente.,RF,0,RF,0,0.863421,2.578,2
El administrador del banco podrá crear un plan de pagos desde su panel principal.,RF,0,RF,0,0.510793,2.471,4
El vendedor podrá dar de baja una dirección de envío obsoleta cuando su registro ya no sea necesario.,RF,0,RF,0,0.74583,3.886,2
El sistema tiene que generar un recordatorio de próxima cita a solicitud del farmacéutico.,RF,0,RNF,1,0.535859,2.455,4
"El sistema debe permitir la creación de una solicitud de crédito por parte del usuario, si la operación no supera el límite diario establecido.",RF,0,RNF,1,0.566167,2.73,4
El sistema debe calcular automáticamente la dosis de medicamento según el peso del paciente.,RF,0,RF,0,0.652267,3.059,4
El sistema debe determinar la nota final del período cada vez que se registre un cambio relevante.,RF,0,RNF,1,0.57205,2.935,4
El módulo correspondiente dará la opción de obtener los créditos aprobados hasta la fecha en tiempo real.,RF,0,RF,0,0.720048,2.955,4
"El sistema posibilitará que el estudiante registre una tarea con fecha límite, de acuerdo con las políticas internas de la organización.",RF,0,RNF,1,0.588945,2.641,4
El acceso del coordinador académico habilitará para validarse con verificación de correo institucional.,RF,0,RF,0,0.692024,2.935,4
El administrador del sistema podrá dar de baja una matrícula anulada cuando su registro ya no sea necesario.,RF,0,RNF,1,0.779336,2.708,2
El sistema necesita eliminar de forma permanente un usuario egresado tras confirmación del tutor de tesis.,RF,0,RF,0,0.637222,3.465,3
El sistema habilitará para exportar un informe médico consolidado en formato digital.,RF,0,RNF,1,0.507479,2.604,4
El sistema tiene que generar una guía de envío a solicitud del administrador de la tienda.,RF,0,RNF,1,0.868716,2.446,3
El acceso del farmacéutico podrá validarse con tarjeta profesional y PIN.,RF,0,RNF,1,0.963157,2.413,1
El sistema tiene que eliminar de forma permanente una matrícula anulada tras confirmación del representante legal.,RF,0,RF,0,0.763807,3.315,4
El administrador de la tienda podrá dar de baja una dirección de envío obsoleta cuando su registro ya no sea necesario.,RF,0,RNF,1,0.58395,2.931,4
El sistema necesita autenticar al usuario mediante clave dinámica y huella dactilar antes de otorgar acceso.,RF,0,RNF,1,0.957302,3.236,2
El acceso del médico tratante habilitará para validarse con tarjeta profesional y PIN.,RF,0,RNF,1,0.967478,2.487,2
"El sistema permitirá que el representante legal registre una tarea con fecha límite, salvo que existan restricciones administrativas vigentes.",RF,0,RF,0,0.686885,2.486,3
El sistema está obligado a autenticar al titular de la cuenta con verificación en dos pasos por SMS antes de otorgar acceso.,RF,0,RNF,1,0.85072,2.869,3
El tutor de tesis podrá dar de baja una tarea entregada fuera de plazo cuando su registro ya no sea necesario.,RF,0,RNF,1,0.884869,2.634,2
El sistema está obligado a calcular automáticamente la comisión del vendedor por cada venta.,RF,0,RF,0,0.672885,2.738,4
El módulo correspondiente dará la opción de obtener el porcentaje de asistencia acumulado en tiempo real.,RF,0,RF,0,0.789634,3.12,4
El sistema habilitará para exportar una guía de envío en formato digital.,RF,0,RNF,1,0.793871,3.812,3
"El repartidor tendrá la opción de crear una lista de productos favoritos desde su panel principal, salvo que existan restricciones administrativas vigentes.",RF,0,RF,0,0.861891,2.717,2
El módulo correspondiente permitirá obtener la cuota de amortización del préstamo en tiempo real.,RF,0,RF,0,0.560552,2.604,4
El sistema deberá eliminar de forma permanente un producto descontinuado del catálogo tras confirmación del repartidor.,RF,0,RNF,1,0.597608,3.496,4
"El repartidor tendrá la opción de crear un pedido nuevo desde su panel principal, de acuerdo con las políticas internas de la organización.",RF,0,RF,0,0.590448,2.885,4
El sistema permitirá que el médico tratante elimine un usuario dado de baja del sistema.,RF,0,RF,0,0.714139,2.389,3
El acceso del coordinador académico habilitará para validarse mediante usuario institucional y contraseña.,RF,0,RNF,1,0.898332,2.482,2
El sistema dará la opción de que el administrador del hospital elimine un registro médico duplicado.,RF,0,RF,0,0.86165,2.745,3
El acceso del cliente frecuente dará la opción de validarse con verificación por mensaje de texto.,RF,0,RF,0,0.77027,2.634,3
El sistema necesita calcular automáticamente el interés compuesto mensual.,RF,0,RF,0,0.845668,2.542,4
El sistema está obligado a autenticar al estudiante con verificación de correo institucional antes de otorgar acceso.,RF,0,RF,0,0.509003,2.372,4
El sistema dará la opción de que el paciente elimine una cita cancelada por el paciente.,RF,0,RF,0,0.923978,3.089,3
El sistema deberá eliminar de forma permanente un beneficiario registrado tras confirmación del titular de la cuenta.,RF,0,RNF,1,0.610382,2.481,4
El sistema posibilitará exportar una alerta de interacción entre medicamentos en formato digital.,RF,0,RNF,1,0.740983,3.12,3
El acceso del representante legal dará la opción de validarse mediante usuario institucional y contraseña.,RF,0,RNF,1,0.770658,2.238,2
El sistema debe eliminar de forma permanente un producto descontinuado del catálogo tras confirmación del vendedor.,RF,0,RF,0,0.674986,2.794,4
El cliente podrá dar de baja un beneficiario registrado cuando su registro ya no sea necesario.,RF,0,RNF,1,0.666445,2.336,3
El acceso del comprador dará la opción de validarse mediante correo electrónico y contraseña.,RF,0,RNF,1,0.586069,2.651,4
El comprador estará en capacidad de generar una reseña de producto desde su panel principal.,RF,0,RF,0,0.794494,2.98,3
El sistema dará la opción de que el cliente elimine un beneficiario registrado.,RF,0,RF,0,0.843875,2.651,3
El sistema debe determinar el costo total del carrito incluyendo impuestos cada vez que se registre un cambio relevante.,RF,0,RF,0,0.59097,2.707,4
El sistema tiene que determinar el costo total del carrito incluyendo impuestos cada vez que se registre un cambio relevante.,RF,0,RF,0,0.734129,2.9,4
"El especialista tendrá la opción de crear un plan de tratamiento desde su panel principal, cuando el usuario cuente con los permisos necesarios.",RF,0,RF,0,0.636401,1.92,4
"El sistema permitirá que el asesor financiero registre una cuenta de ahorros, siempre que los datos ingresados sean válidos.",RF,0,RNF,1,0.862441,2.753,2
El sistema debe eliminar de forma permanente una solicitud de crédito rechazada tras confirmación del usuario.,RF,0,RF,0,0.625612,2.467,4
El sistema dará la opción de que el repartidor elimine una reseña reportada como falsa.,RF,0,RF,0,0.903321,2.339,3
