text,expected_label,expected_label_id,label,label_id,confidence,latency_ms,rank
El módulo correspondiente habilitará para obtener el porcentaje de asistencia acumulado en tiempo real.,RF,0,RNF,1,0.93,103.478,1
El repartidor tendrá acceso a una notificación de estado del pedido desde el módulo de reportes.,RF,0,RNF,1,0.62,51.54,3
El módulo correspondiente posibilitará obtener el saldo disponible tras una transferencia en tiempo real.,RF,0,RNF,1,0.93,65.234,2
El sistema dará la opción de exportar un reporte de calificaciones en formato digital.,RF,0,RNF,1,0.7,53.457,4
El sistema deberá autenticar a la enfermera de turno utilizando huella dactilar registrada antes de otorgar acceso.,RF,0,RNF,1,0.89,53.947,2
El sistema tiene que autenticar al titular de la cuenta con verificación en dos pasos por SMS antes de otorgar acceso.,RF,0,RNF,1,0.94,54.259,1
"El sistema necesita permitir la creación de un registro de alergias del paciente por parte del médico tratante, si la operación no supera el límite diario establecido.",RF,0,RNF,1,0.83,50.817,2
El acceso del titular de la cuenta habilitará para validarse con verificación en dos pasos por SMS.,RF,0,RNF,1,0.97,46.175,1
El estudiante podrá dar de baja una tarea entregada fuera de plazo cuando su registro ya no sea necesario.,RF,0,RNF,1,0.75,49.546,3
El sistema habilitará para que el administrador del banco registre un plan de pagos.,RF,0,RNF,1,0.94,56.268,2
El sistema habilitará para que el especialista elimine una cita cancelada por el paciente.,RF,0,RNF,1,0.87,53.608,4
El acceso del médico tratante permitirá validarse utilizando huella dactilar registrada.,RF,0,RNF,1,0.67,52.639,4
El sistema debe eliminar de forma permanente un beneficiario registrado tras confirmación del titular de la cuenta.,RF,0,RNF,1,0.92,51.154,1
El acceso del vendedor posibilitará validarse con verificación por mensaje de texto.,RF,0,RNF,1,0.9,53.486,1
El acceso del tutor de tesis dará la opción de validarse utilizando código de acceso temporal.,RF,0,RNF,1,0.93,37.76,1
El sistema permitirá exportar una notificación de estado del pedido en formato digital.,RF,0,RF,0,0.7,40.731,4
El usuario podrá realizar operaciones diversas cuando el sistema lo permita.,RF,0,RNF,1,0.81,44.493,3
El sistema deberá autenticar al administrador de la tienda mediante correo electrónico y contraseña antes de otorgar acceso.,RF,0,RNF,1,0.86,53.187,3
El sistema tiene que autenticar al representante legal utilizando código de acceso temporal antes de otorgar acceso.,RF,0,RNF,1,0.94,49.713,1
El repartidor podrá dar de baja una reseña reportada como falsa cuando su registro ya no sea necesario.,RF,0,RNF,1,0.76,56.114,3
El sistema necesita determinar el porcentaje de asistencia acumulado cada vez que se registre un cambio relevante.,RF,0,RNF,1,0.88,66.008,1
El sistema está obligado a calcular automáticamente el tiempo estimado de entrega.,RF,0,RNF,1,0.92,60.898,2
El sistema posibilitará que el médico tratante elimine un usuario dado de baja del sistema.,RF,0,RNF,1,0.88,50.205,2
"El sistema podrá permitir que el administrador del hospital registre una historia clínica digital, cuando el usuario cuente con los permisos necesarios.",RF,0,RNF,1,0.81,56.263,2
El administrador del hospital podrá descargar un recordatorio de próxima cita desde el módulo de reportes.,RF,0,RNF,1,0.72,54.964,4
