text,label,source
The system shall have a MDI form that allows for the viewing of the graph and the data table.,0,Dataset6000Req.xlsx
'The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.',0,dataset_raw.csv
System shall adhere to data preservation standards to ensure long-term accessibility and usability.,1,Dataset6000Req.xlsx
The application will require well-defined test environments to ensure thorough testing of its various functionalities.,1,Dataset6000Req.xlsx
'The website shall be capable of supporting 100 000 customers.',1,dataset_raw.csv
System shall have self-monitoring to detect faults periodically.,1,Dataset6000Req.xlsx
"The user shall be able to purchase items in their cart using credits, if allowed by the item.",0,Dataset6000Req.xlsx
'The product shall have a consistent color scheme and fonts.',1,dataset_raw.csv
"System shall be able to maintain and display subject details including code, name, type, semester, and credits.",0,Dataset6000Req.xlsx
"The user shall be able to filter search results by distance, price, restaurant type, and specific dish.",0,Dataset6000Req.xlsx
System shall provide supervisor interface to change thermostat settings.,0,Dataset6000Req.xlsx
The OneDrive mobile app shall be compatible with phones and tablets running Android 6.0 or later versions.,1,Dataset6000Req.xlsx
"The system shall allow the administrator to extract statistics of use, standard delay of reply by member/period, percentage of unsuccessful transaction.",0,Dataset6000Req.xlsx
"User shall easily find what they are looking for on the website, with a simple web design ensuring ease of use.",1,Dataset6000Req.xlsx
System shall restrict search results to only records the user has access rights for (both quick and advanced searches).,1,Dataset6000Req.xlsx
"For returning customers, the system shall validate existing credit card in system after each log in.",1,Dataset6000Req.xlsx
System shall be able to allow users to switch between the stylistic and satellite map views.,0,Dataset6000Req.xlsx
The TCS shall have the functionality to receive and process UAV mission plans from other TCSs.,0,Dataset6000Req.xlsx
"Interfaces shall be easily navigable, clearly labeled, and accompanied by a help menu.",1,Dataset6000Req.xlsx
'The website will use standard Internet conventions when interacting with the user.',1,dataset_raw.csv
"User shall be able to create a LeetCode account with their email, username, and password.",0,Dataset6000Req.xlsx
A user shall be able to select the login option (email/password or Google account).,0,Dataset6000Req.xlsx
"The system shall scale to accommodate the existing 1,000 users and a projected 5x growth within the next year.",1,Dataset6000Req.xlsx
'The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.',0,dataset_raw.csv
Jobs will be added to a watchlist for later viewing.,0,Dataset6000Req.xlsx
The system shall display a search bar prominently to enable users to easily find the information they need.,0,Dataset6000Req.xlsx
The system shall prompt users to take breaks based on predefined settings or usage patterns.,0,Dataset6000Req.xlsx
The healthcare portal shall employ industry-standard encryption and security measures to protect patient data from unauthorized access.,1,Dataset6000Req.xlsx
'If a user account is revoked it can only be re-instantiated by the System Administrator.',1,dataset_raw.csv
System shall retrieve backups of the database from the server and save them in case of hardware failure or database corruption.,1,Dataset6000Req.xlsx
Delivery boy shall be able to receive ratings from customers.,0,Dataset6000Req.xlsx
"User shall not share their password with anyone, and the system must ensure complete privacy of filtered details and user chats.",1,Dataset6000Req.xlsx
'The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.',0,dataset_raw.csv
User shall be able to connect with other people on Quora by sending messages.,0,Dataset6000Req.xlsx
"System shall open a new window with options such as account, privacy, and language settings.",0,Dataset6000Req.xlsx
"The TCS will have the capability to control and monitor an AV, payload, data link, and C4I interfaces during the execution of a mission.",0,Dataset6000Req.xlsx
The Disputes application shall interface with the Cardmember Posting and Billing System. This will allow the Disputes application to request adjustments to cardmember and merchant's accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.',1,dataset_raw.csv
The system shall allow linking components to objects and other components.,0,Dataset6000Req.xlsx
System shall provide tools for managing Digital Objects within the application.,0,Dataset6000Req.xlsx
System shall show the TU/e Twitter page on the title screen when the Twitter app is started.,0,Dataset6000Req.xlsx
Students shall be able to take quizzes.,0,Dataset6000Req.xlsx
"The booking process will be intuitive, with information completion in stages.",0,Dataset6000Req.xlsx
"Access shall be granted if the credentials are valid; otherwise, access shall be denied.",0,Dataset6000Req.xlsx
The displayed number of total ideas shall be updated frequently.,0,Dataset6000Req.xlsx
"User shall provide input through touch, tap, or drag on the screen to perform actions within the application.",0,Dataset6000Req.xlsx
A Platform Administrator shall be able to hide public datasets.,0,Dataset6000Req.xlsx
System shall alert users if login credentials are incorrect or if the account does not exist.,0,Dataset6000Req.xlsx
The system shall allow users to add multiple lines of music to a score.,0,Dataset6000Req.xlsx
"The system shall accept documents through various methods (e.g., camera capture, file upload).",0,Dataset6000Req.xlsx
Each idea shall be listed on its own line in a numbered list in the idea phase.,0,Dataset6000Req.xlsx
"The TCS shall provide the functionality to control the power, transmitter signal strength, and frequencies used by ADT for data link communication.",0,Dataset6000Req.xlsx
User will choose between linking a credit or debit card.,0,Dataset6000Req.xlsx
System shall ensure high data transfer rate.,1,Dataset6000Req.xlsx
The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,0,Dataset6000Req.xlsx
Upon the USB being plugged in the system shall be able to be deployed and operational in less than 1 minute,1,Dataset6000Req.xlsx
Patients shall have the option to make payments for services provided through the portal.,0,Dataset6000Req.xlsx
