text,label
'El radio de búsqueda estará entre 1 y 30 millas',0
"""El sistema será utilizado por agentes inmobiliarios sin formación.""",1
"""Cuando el jugador atacante realice un tiro, el producto simulará el sonido de un barco en el mar"".",1
«El informe de auditoría incluirá el número de piezas recicladas disponibles a partir de los resultados de la búsqueda original.»,0
'El código PHP cumplirá con los estándares PEAR.',1
"""Todas las pantallas creadas como parte de la aplicación Disputas deben cumplir con los estándares corporativos para la creación de interfaces"".",1
"'La ubicación del vehículo incluirá la dirección, la ciudad, el estado y el código postal'",0
'El producto deberá mostrar el equipamiento de la sala según los parámetros de búsqueda.',0
"""El sistema permitirá a los administradores generar PIN prepagos únicos en menos de 2 minutos y generar un archivo Excel con los PIN generados"".",1
"'El sistema contendrá información de contacto (correo electrónico y número de teléfono) de todas las personas relevantes para el sistema, incluidos (pero no limitados a) miembros del personal, estudiantes, instructores, instructores de laboratorio clínico y administradores de sitios clínicos.'",0
"""El servidor de streaming tendrá un software antivirus para evitar la infección de virus maliciosos"".",1
«El número medio de registros de piezas recicladas al día será de 50 000.».,1
"""El producto mantendrá el estado de cada jugador durante un turno, ya sea ofensivo o defensivo"".",0
"'Se debe proporcionar al usuario una lista de todos los casos de disputas que cumplan con los criterios de búsqueda ingresados. La lista de casos debe diferenciar el tipo y/o estado del caso mediante un código de colores en la línea de pedido de la lista. Por ejemplo, todos los casos abiertos serán amarillos y todos los casos cerrados serán grises.'",1
"""Todas las ventas de películas en streaming se registrarán en la base de datos y el administrador podrá acceder a ellas"".",1
'Los administradores del programa y los miembros del personal de enfermería tendrán la capacidad de especificar qué clases se requieren para un programa de estudio',0
"""El producto deberá mostrar un mapa del edificio de la empresa que muestre la ubicación de las salas de conferencias"".",0
': El producto deberá continuar funcionando durante el cambio de actualización o la adición de nuevos recursos. El producto deberá poder continuar funcionando sin interrupción en el servicio debido a la adición de nuevos recursos.',1
"En una conexión de 112k o más rápida, el tiempo de respuesta del sistema para todas las operaciones no debe ser superior a 3 segundos el 90% del tiempo.",1
"""Si se revoca una cuenta de usuario, solo el administrador del sistema puede volver a crear una instancia"".",1
El sistema debe estar disponible para su uso entre las 7:00 a. m. y las 23:59 p. m. todos los días del año.',1
'El Sistema de Disputas proporcionará con precisión una lista de posibles códigos de motivo para una transacción determinada. La lista de posibles códigos de motivo debe derivarse en función del tipo de transacción y la industria a la que pertenece el comerciante de acuerdo con las reglas comerciales definidas para el Sistema de Disputas.',1
"""El sistema ofrecerá la posibilidad de pausar y reanudar la actualización de datos"".",0
"""El producto proporcionará servicios de seguimiento de errores. El producto ayudará a los administradores del sistema y a los DBA a resolver errores de transacciones el 99% del tiempo"".",1
'El Subsistema PME permitirá construir menús de productos basados ​​en la lista de productos mantenida en el sistema contable.',0
"""Solo los clientes registrados pueden comprar películas en streaming"".",1
"'Al ver los detalles de una película, el sitio web mostrará la descripción de la película, el actor y el director ingresados ​​por el administrador.'",0
'El administrador de Izogn debe poder agregar nuevos productos al sitio web en 2 minutos.',1
'El producto deberá tener seguridad. El producto deberá proporcionar autenticación y autorización.',1
"""El producto mostrará las salas de conferencias según los parámetros de búsqueda"".",0
"""El producto tendrá una apariencia y sensación personalizables"".",1
"""Los informes de defectos estarán disponibles para las unidades técnicas las 24 horas del día, los 7 días de la semana"".",1
"""Las películas solo se pueden transmitir si el cliente ha comprado una película y se encuentra dentro del período de dos días para transmitirla"".",0
'El producto registrará las agendas de reuniones actualizadas.',0
'Los resultados de la búsqueda se devolverán a más tardar 30 segundos después de que el usuario haya introducido los criterios de búsqueda',1
"""El diseño del sitio web debe ser moderno, limpio y conciso"".",1
"""Una compañía de seguros no podrá ver los datos de reclamaciones de otra compañía de seguros"".",1
'Los administradores del programa y los miembros del personal de enfermería podrán agregar una nueva cohorte al sistema identificada por mes y año de inicio.',0
"""Para cada turno, el producto identificará a un jugador en estado ofensivo y a otro en estado defensivo"".",0
'El producto debe incitar a los usuarios a querer utilizarlo. El 80% de los usuarios encuestados informan que utilizan el producto con regularidad después de las dos primeras semanas posteriores al lanzamiento.,1
«El producto será intuitivo y se explicará por sí mismo. Nueve de cada diez usuarios podrán completar con éxito un juego sin entrenamiento.',1
'La aplicación de Disputas interactuará con la Base de Datos de Declaraciones. La base de datos de estados de cuenta proporciona los detalles de la transacción al Sistema de Disputas. Todos los detalles de la transacción deben obtenerse de la base de datos de estados de cuenta.,1
'La aplicación Disputes debe mantener un historial detallado de cada acción que realiza un usuario en un caso de disputa. Esto garantiza un seguimiento de auditoría completo si más adelante surgen preguntas con respecto a un caso de disputa en particular.',1
El sistema será fácil de utilizar para quienes llaman y supervisores. Las personas que llaman y los supervisores deben poder realizar cualquier tarea del sistema en 2 minutos.',1
"""Cuando ambos jugadores hayan colocado sus 5 barcos en sus cuadrículas defensivas, el producto definirá el estado de cada jugador para el primer turno"".",0
'El sistema permitirá al administrador agregar/eliminar películas en el sitio web en menos de 5 minutos. La información ingresada sobre la película se almacenará en la base de datos y ahora estará disponible en el sitio web.',1
"La interfaz será atractiva para quienes llaman y supervisores. En la encuesta sobre interfaz y usabilidad, el 80% de los probadores beta deben afirmar que la interfaz es atractiva.'",1
'Los parámetros de lavado se actualizarán durante las horas de mantenimiento programadas.',1
"""El producto deberá responder rápidamente para mantener los datos actualizados en la pantalla"".",1
«Sólo se introducirán en el sistema datos válidos. No se introducirán en el sistema datos no válidos.»,1
'El producto deberá poder instalarse en el entorno especificado en el plazo de 1 día laborable.',1
'Los usuarios deberán sentirse satisfechos utilizando el producto. El 85% de todos los usuarios estarán satisfechos con el producto.',1
«Únicamente los estimadores de colisiones buscarán piezas recicladas. Los usuarios que no tengan la función de estimador de colisiones no tendrán acceso a la búsqueda de piezas recicladas.».,1
«El producto protegerá la identidad de los jugadores. El producto no proporcionará a los jugadores acceso a información que pueda revelar la identidad de otro jugador.».,1
"""Sólo el personal autorizado puede acceder a los registros de clientes en la base de datos"".",1
"""El sistema evitará ataques maliciosos, incluida la denegación de servicio"".",1
"""El sitio web seguirá funcionando si la pasarela de pago deja de funcionar.""",1
'El producto deberá poder almacenar equipos de sala nuevos.',0
'Los administradores del programa y los miembros del personal de enfermería podrán agregar nuevas clases para el departamento de enfermería al sistema.',0
'El sistema permitirá al administrador desactivar la cuenta de un cliente en menos de 1 minuto. El cliente ya no podrá acceder al sitio web.',1
"""El servidor admitirá un máximo de 1.000 usuarios simultáneos"".",1
"""El sistema atenderá a 10 usuarios simultáneos de 9 a 17 horas"".",1
'Los administradores del programa y los miembros del personal de enfermería podrán agregar un solo estudiante a una cohorte',0
"""La apariencia del sistema deberá ajustarse a los estándares de interfaz de usuario del dispositivo inteligente"".",1
"""Un cliente solo puede transmitir una película si la compró y se encuentra dentro del período de visualización de 2 días"".",1
"""El sistema devolverá una lista de instalaciones de reparación dentro del radio si no se puede determinar cuál es la instalación de reparación preferida"".",0
'El sistema dispondrá de un formulario MDI que permita la visualización del gráfico y de la tabla de datos.',0
«El liquidador revisará la estimación de colisión.»,0
"""El sistema será capaz de procesar el 100% de los estudiantes de enfermería y sus clases durante los próximos 10 años"".",1
«El Sistema cumplirá todas las normas contables aplicables. La versión final del Sistema debe superar con éxito una auditoría independiente realizada por un auditor certificado.',1
"""El producto generará un informe CMA en un tiempo aceptable"".",1
"'El Sistema permitirá ingresar, almacenar y modificar fórmulas de productos.'",0
'Si el tiro fue marcado como fallido el producto cambiará el estado del jugador defensivo a ofensivo',0
"«Al comienzo de cada turno, el producto notificará a cada jugador su estado.»",0
"""El sistema permitirá al administrador agregar/eliminar categorías en el sitio web en menos de 5 minutos"".",1
'El sistema proporcionará un informe histórico de los cambios realizados en los datos de Actividad o Evento',0
"""Los administradores del programa y los miembros del personal de enfermería podrán especificar la secuencia preferida de clases para una cohorte determinada"".",0
'El Sistema de Disputas debe proporcionar diferentes niveles de acceso con respecto a la iniciación de casos de disputas y las acciones de seguimiento.',1
"'Si el tiro fue marcado como un golpe, el producto permitirá al jugador ofensivo definir un tiro.'",0
'Una cohorte estará asociada a un programa de estudios ofrecido por el departamento.',0
"""Debemos poder interactuar con cualquier navegador HTML"".",1
"'El sistema permitirá a los usuarios actualizar su información de facturación y contacto a través de la sección ""Mi cuenta"" del sitio web.'",0
"""El sistema codificará con colores los eventos según su variación con respecto a la hora actual"".",1
El producto deberá garantizar que sólo los supervisores puedan anunciar franjas horarias vacías. El producto debe garantizar que los supervisores puedan acceder a anunciar franjas horarias vacías.,1
Los estudiantes agregados a una cohorte serán elegibles para el programa de estudios de la cohorte.',0
'El Sistema de Disputas proporcionará capacidad de acceso a actualizaciones para los usuarios autorizados de la aplicación.',1
"""El sistema utilizará las direcciones de correo electrónico almacenadas como medio principal para comunicar información a las partes afectadas"".",0
'El sistema mostrará la hora local y de ejercicio en relojes separados',0
"""El producto podrá gestionar 10.000 usuarios simultáneos en un plazo de dos años desde su lanzamiento inicial"".",1
"""El sitio web deberá poder atender a 100.000 clientes.""",1
'La recreación del ajuste de cantidad de inventario para el período de los 30 días anteriores no tomará más de 30 minutos.',1
"""Sólo los usuarios autorizados tendrán acceso a la parte del sistema que interactúa con CampusConnect"".",1
«El producto estará disponible para su distribución a través de Internet como archivo binario o ZIP.»,1
"""Toda la información del cliente registrado se almacenará y mantendrá en la base de datos incluso después de que el cliente cancele su cuenta"".",0
"""Se utilizará una base de datos secundaria para almacenar estadísticas y datos históricos"".",1
"""El producto funcionará en modo fuera de línea siempre que la conexión a Internet no esté disponible"".",1
'El sistema ofrecerá una visualización de todos los Eventos del ejercicio.',0
'El producto actualizará el equipamiento de la sala existente.',0
«El producto registrará todos los equipos que se hayan reservado.»,0
