text,source_label,beto_label,beto_label_id,beto_confidence,audited_label,decision,reason
El sistema deberá autenticar a la enfermera de turno utilizando huella dactilar registrada antes de otorgar acceso.,RF,RNF,1,0.86394,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema tiene que autenticar al titular de la cuenta con verificación en dos pasos por SMS antes de otorgar acceso.,RF,RNF,1,0.930763,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El acceso del titular de la cuenta habilitará para validarse con verificación en dos pasos por SMS.,RF,RNF,1,0.849644,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El acceso del médico tratante permitirá validarse utilizando huella dactilar registrada.,RF,RNF,1,0.735015,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El acceso del vendedor posibilitará validarse con verificación por mensaje de texto.,RF,RNF,1,0.787776,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El usuario podrá realizar operaciones diversas cuando el sistema lo permita.,RF,RNF,1,0.838161,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El sistema deberá autenticar al administrador de la tienda mediante correo electrónico y contraseña antes de otorgar acceso.,RF,RNF,1,0.859781,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema tiene que autenticar al representante legal utilizando código de acceso temporal antes de otorgar acceso.,RF,RNF,1,0.882924,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema está obligado a calcular automáticamente el tiempo estimado de entrega.,RF,RNF,1,0.523747,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
"El sistema podrá permitir que el administrador del hospital registre una historia clínica digital, cuando el usuario cuente con los permisos necesarios.",RF,RNF,1,0.621362,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
"El médico tratante podrá crear una historia clínica digital desde su panel principal, siempre que los datos ingresados sean válidos.",RF,RNF,1,0.522301,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El sistema tiene que determinar la dosis de medicamento según el peso del paciente cada vez que se registre un cambio relevante.,RF,RNF,1,0.560708,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El usuario podrá modificar ciertos datos según lo considere pertinente.,RF,RNF,1,0.763832,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El sistema permitirá exportar un certificado de estudios en formato digital.,RF,RNF,1,0.554878,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El sistema necesita autenticar al titular de la cuenta mediante token físico y contraseña antes de otorgar acceso.,RF,RNF,1,0.941841,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema debe gestionar correctamente la información relevante del cliente.,RF,RNF,1,0.821776,RF,ambiguous_keep_source,"Functional action is present, but quality wording is vague; exclude from v2 until policy review."
El acceso del representante legal permitirá validarse mediante usuario institucional y contraseña.,RF,RNF,1,0.893581,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema debe autenticar al administrador del hospital con tarjeta profesional y PIN antes de otorgar acceso.,RF,RNF,1,0.936328,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El acceso del farmacéutico habilitará para validarse utilizando huella dactilar registrada.,RF,RNF,1,0.880533,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El acceso del cliente podrá validarse mediante clave dinámica y huella dactilar.,RF,RNF,1,0.824673,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema tiene que eliminar de forma permanente una tarjeta bloqueada tras confirmación del asesor financiero.,RF,RNF,1,0.607023,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El sistema tiene que autenticar al administrador del banco con verificación en dos pasos por SMS antes de otorgar acceso.,RF,RNF,1,0.90755,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El titular de la cuenta tendrá acceso a un estado de cuenta en PDF desde el módulo de reportes.,RF,RNF,1,0.550061,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El repartidor tendrá acceso a una guía de envío desde el módulo de reportes.,RF,RNF,1,0.527991,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El sistema podrá exportar un estado de cuenta en PDF en formato digital.,RF,RNF,1,0.594155,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El acceso del cliente posibilitará validarse mediante clave dinámica y huella dactilar.,RF,RNF,1,0.830614,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El acceso del coordinador académico habilitará para validarse con verificación de correo institucional.,RF,RNF,1,0.69319,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El acceso del farmacéutico podrá validarse con tarjeta profesional y PIN.,RF,RNF,1,0.704414,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema necesita autenticar al usuario mediante clave dinámica y huella dactilar antes de otorgar acceso.,RF,RNF,1,0.976481,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El acceso del médico tratante habilitará para validarse con tarjeta profesional y PIN.,RF,RNF,1,0.697958,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema está obligado a autenticar al titular de la cuenta con verificación en dos pasos por SMS antes de otorgar acceso.,RF,RNF,1,0.929685,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema habilitará para exportar una guía de envío en formato digital.,RF,RNF,1,0.524043,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El acceso del coordinador académico habilitará para validarse mediante usuario institucional y contraseña.,RF,RNF,1,0.801921,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El acceso del cliente frecuente dará la opción de validarse con verificación por mensaje de texto.,RF,RNF,1,0.7003,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema está obligado a autenticar al estudiante con verificación de correo institucional antes de otorgar acceso.,RF,RNF,1,0.900175,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema posibilitará exportar una alerta de interacción entre medicamentos en formato digital.,RF,RNF,1,0.716652,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El acceso del representante legal dará la opción de validarse mediante usuario institucional y contraseña.,RF,RNF,1,0.646194,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El acceso del comprador dará la opción de validarse mediante correo electrónico y contraseña.,RF,RNF,1,0.615528,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
"El especialista tendrá la opción de crear un plan de tratamiento desde su panel principal, cuando el usuario cuente con los permisos necesarios.",RF,RNF,1,0.742984,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El sistema debe eliminar de forma permanente una solicitud de crédito rechazada tras confirmación del usuario.,RF,RNF,1,0.789974,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El sistema debe autenticar al farmacéutico con tarjeta profesional y PIN antes de otorgar acceso.,RF,RNF,1,0.841642,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema necesita calcular automáticamente el tiempo estimado de entrega.,RF,RNF,1,0.54158,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El sistema tiene que eliminar de forma permanente una alerta configurada tras confirmación del cajero.,RF,RNF,1,0.699856,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El sistema tiene que autenticar al paciente con tarjeta profesional y PIN antes de otorgar acceso.,RF,RNF,1,0.946598,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema necesita determinar el tiempo de espera promedio en urgencias cada vez que se registre un cambio relevante.,RF,RNF,1,0.521641,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El administrador del banco tendrá acceso a un certificado de saldo desde el módulo de reportes.,RF,RNF,1,0.503545,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
"El sistema está obligado a permitir la creación de una dirección de envío por parte del repartidor, siempre que los datos ingresados sean válidos.",RF,RNF,1,0.762869,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El sistema deberá facilitar la operación al usuario de forma general.,RF,RNF,1,0.889845,RNF,source_label_issue,Explicit performance/usability quality constraint belongs to RNF.
El acceso del proveedor posibilitará validarse con verificación por mensaje de texto.,RF,RNF,1,0.849085,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
"El sistema tiene que permitir la creación de una tarjeta de débito virtual por parte del cliente, de acuerdo con las políticas internas de la organización.",RF,RNF,1,0.843594,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El sistema tiene que manejar de manera apropiada los casos especiales que puedan presentarse.,RF,RNF,1,0.907868,RF,ambiguous_keep_source,"Functional action is present, but quality wording is vague; exclude from v2 until policy review."
"El sistema tiene que permitir la creación de una cuenta de ahorros por parte del administrador del banco, siempre que los datos ingresados sean válidos.",RF,RNF,1,0.750148,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El acceso del proveedor posibilitará validarse utilizando inicio de sesión con cuenta de terceros.,RF,RNF,1,0.847023,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El acceso del administrador del sistema habilitará para validarse utilizando código de acceso temporal.,RF,RNF,1,0.892817,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema deberá autenticar al estudiante mediante usuario institucional y contraseña antes de otorgar acceso.,RF,RNF,1,0.807626,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema tiene que autenticar al vendedor utilizando inicio de sesión con cuenta de terceros antes de otorgar acceso.,RF,RNF,1,0.914694,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema debe eliminar de forma permanente una alerta configurada tras confirmación del cliente.,RF,RNF,1,0.903581,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
La enfermera de turno estará en capacidad de generar un plan de tratamiento desde su panel principal.,RF,RNF,1,0.727066,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El sistema tiene que autenticar al repartidor mediante correo electrónico y contraseña antes de otorgar acceso.,RF,RNF,1,0.903743,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El acceso del administrador del banco dará la opción de validarse con verificación en dos pasos por SMS.,RF,RNF,1,0.631946,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema deberá procesar las solicitudes de forma adecuada según el criterio del administrador.,RF,RNF,1,0.932594,RF,ambiguous_keep_source,"Functional action is present, but quality wording is vague; exclude from v2 until policy review."
"El sistema deberá permitir la creación de una alerta de saldo mínimo por parte del usuario, siempre que los datos ingresados sean válidos.",RF,RNF,1,0.772465,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El sistema deberá autenticar al representante legal utilizando código de acceso temporal antes de otorgar acceso.,RF,RNF,1,0.666967,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El sistema necesita autenticar a la enfermera de turno mediante credenciales institucionales y doble factor antes de otorgar acceso.,RF,RNF,1,0.903734,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El acceso del proveedor dará la opción de validarse con verificación por mensaje de texto.,RF,RNF,1,0.606603,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
El paciente tendrá acceso a una alerta de interacción entre medicamentos desde el módulo de reportes.,RF,RNF,1,0.796316,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El sistema debe procesar la solicitud en un tiempo razonable.,RF,RNF,1,0.97883,RNF,source_label_issue,Explicit performance/usability quality constraint belongs to RNF.
El administrador del hospital podrá dar de baja un usuario dado de baja del sistema cuando su registro ya no sea necesario.,RF,RNF,1,0.63668,RF,model_error,"System capability/action remains RF: create, export, calculate, access, modify, delete, or generate."
El sistema deberá ofrecer una experiencia satisfactoria durante todo el proceso.,RF,RNF,1,0.971775,RNF,source_label_issue,Explicit performance/usability quality constraint belongs to RNF.
El acceso del médico tratante habilitará para validarse utilizando huella dactilar registrada.,RF,RNF,1,0.826782,RNF,source_label_issue,Authentication mechanism or access-control constraint belongs to RNF security policy.
